Model,Brand,Regular Price (BDT),Special Price (BDT),Discount (BDT),Processor Brand,Processor Model,Processor Frequency (GHz),RAM (GB),RAM Type,Storage,Display Size (inch),Display Type,Graphics Model,Battery Type,Battery Capacity (WHr),Number of Reviews
Huawei MateBook D 15,Huawei,65100,60500,4600,Intel,Core i3 1115G4,4,8,DDR4,256GB SSD,15,FHD IPS LED Display,Intel UHD Graphics,,42,0
Acer Aspire 3 A315-59,Acer,62710,58000,4710,Intel,Core i3 1215U,4,8,DDR4,512GB SSD,15,FHD LED Display,Intel UHD Graphics,3 Cell Li-ion,40,14
Dynabook Satellite Pro C40-G-13F,Dynabook,33420,31000,2420,Intel,Celeron Dual Core 5205U,1,4,DDR4,256GB SSD,14,HD LED,Intel UHD Graphics,2 Cell Lithium Ion,45,10
HP 15s-fq5486TU,HP,61090,56500,4590,Intel,Core i3 1215U,4,4,DDR4,256GB SSD,15,FHD LED Display,Intel UHD Graphics,,,1
HP 15s-du3611TU,HP,61090,56500,4590,Intel,Core i3 1125G4,3,4,DDR4,1TB HDD,15,FHD LED Display,Intel UHD Graphics,3 Cell Li-ion,41,2
Asus VivoBook 15 X1502ZA,Asus,69120,63900,5220,Intel,Core i3 1215U,4,4,DDR4,256GB SSD,15,FHD LED Display,Intel UHD Graphics,3 Cell Li-ion,42,13
Asus VivoBook 15 X1500EA,Asus,67810,62800,5010,Intel,Core i3 1115G4,4,8,DDR4,1TB HDD,15,Full HD Display,Intel UHD Graphics,2 Cell Li-ion,37,0
HP 15s-eq2618AU,Hp,60000,55500,4500,AMD,Ryzen 3 5300U,3,8,DDR4,512GB SSD,15,,AMD Radeon Graphics,3 Cell Li-Ion,41,11
Acer Extensa 15 EX215-23-R2JD,Acer,59460,55000,4460,AMD,Ryzen 3 7320U,4,8,DDR5,256GB SSD,15,FHD LED Display,AMD Radeon 610M Graphics,3 Cell Li-Ion,40,10
Asus X515EA,Asus,56100,51900,4200,Intel,Core i3 1115G4,4,4,DDR4,1TB HDD,15,FHD,Intel UHD Graphics,2 Cell Li-ion,37,19
Huawei MateBook B3-520,Huawei,64670,0,64670,Intel,Core i3 1115G4,4,8,LPDDR4x,256GB SSD,15,FHD,Intel UHD Graphics,,42,0
Lenovo IdeaPad 1 15ADA7,Lenovo,53930,49900,4030,AMD,Ryzen 3 3250U,3,8,DDR4,512GB SSD,15,FHD,AMD Radeon Graphics,3 Cell Li-Polymer,42,2
Asus D415DA,Asus,54580,50500,4080,AMD,Ryzen 3 3250U,3,4,DDR4,1TB HDD,14,HD LED,AMD Radeon Graphics,2 Cell Li-ion,37,1
Asus M515DA,Asus,54580,50500,4080,AMD,Ryzen 3 3250U,3,4,DDR4,1TB HDD,15,HD LED,AMD Radeon Graphics,2 Cell Li-ion,37,0
HP 15s-eq1578AU,HP,52840,48900,3940,AMD,Athlon Silver 3050U,3,8,DDR4,256GB SSD,15,FHD LED Display,AMD Radeon Graphics,,,14
Dynabook Satellite Pro C40-G-11I,Dynabook,48720,45000,3720,Intel,Core i3 10110U,4,8,DDR4,256GB SSD,14,HD LED,Intel UHD Graphics,,45,3
HP 15s-fq3617TU,HP,46980,43500,3480,Intel,Intel CDC N4500,1,4,DDR4,256GB SSD,15,FHD LED Display,Intel UHD Graphics,,,10
Asus ExpertBook B1 B1400CEAE,Asus,69220,64000,5220,Intel,Core i3 1115G4,4,4,DDR4,256GB SSD,14,FHD,Intel UHD Graphics,3 Cell Li-ion,42,10
Asus ExpertBook P1412CEA,Asus,61850,57000,4850,Intel,Core i3 1115G4,4,4,DDR4,1TB HDD,14,FHD,Intel UHD Graphics,2 Cell Li-ion,37,1
Lenovo IdeaPad Slim 3i 15ITL6,Lenovo,95260,88000,7260,Intel,Core i7 1165G7,4,8,DDR4,512GB SSD,15,FHD LED Display,Intel Iris Xe Graphics,,45,11
Acer TravelMate P214-53-72WA,Acer,93850,86900,6950,Intel,Core i7 1165G7,4,8,DDR4,512GB SSD,14,FHD IPS LED Display,Intel Iris Xe Graphics,3 Cell Lithium Ion (Li-Ion),48,0
